LFwheelSpeed_mps,LRwheelSpeed_mps,RFwheelSpeed_mps,RRwheelSpeed_mps,brakePressureFL_bar,brakePressureFR_bar,brakePressureRL_bar,brakePressureRR_bar,engineTorque_Nm,massEstimate_kg,pinionAngle_rad
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,1,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,3,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,0.0,0.0,0.0,0.0,2,1792,1.885262388311453
